feature,method,effect,effect_value,AD_vs_Mixed,AD_vs_NonAD,Mixed_vs_NonAD,delta_AD_Mixed,delta_AD_NonAD,delta_Mixed_NonAD
MTL_total_pct,Kruskal+Dunn,cliffs_delta,,4.478743855380057e-07,8.475622150314991e-45,4.448436166670688e-15,-0.10956282319670846,-0.3094673141091272,-0.19912683877935922
Temporal_lateral_total_pct,Kruskal+Dunn,cliffs_delta,,0.8954046258164889,9.495020491273066e-40,1.9454706615427245e-30,0.0028541960414527204,-0.29096453775525744,-0.29018586094443116
Medial_parietal_total_pct,Kruskal+Dunn,cliffs_delta,,0.00045460394083398807,1.576214168061704e-14,1.0048434881169237e-20,0.07610789509818604,-0.16947259107917695,-0.2384573423223648
Posterior_total_pct,Kruskal+Dunn,cliffs_delta,,2.0154995428345785e-07,7.720369227643499e-14,8.355800154069973e-26,0.11282984005748385,-0.1649839656018375,-0.26760096495789465
Ventricles_total_pct,Kruskal+Dunn,cliffs_delta,,2.0865154554575958e-10,1.0139637502937006e-20,9.150298086208686e-39,-0.13794303250441817,0.2055123759580513,0.33066382291255914
Hippocampus_bi_pct,Kruskal+Dunn,cliffs_delta,,0.00036521363056274934,1.6259005200674825e-59,1.1806301232503859e-30,-0.07736368803188452,-0.3580264132013877,-0.2912713930418485
Entorhinal_bi_pct,Kruskal+Dunn,cliffs_delta,,1.432607266055004e-08,1.0628961348745583e-41,1.914296213273065e-11,-0.12306548564658894,-0.2982484940743833,-0.17084289928138138
Parahippocampal_bi_pct,Kruskal+Dunn,cliffs_delta,,0.00010697117044651769,1.821878222592405e-08,0.12536030916084903,-0.08621645053193451,-0.12743379666105895,-0.03867025960791528
MTG_bi_pct,Kruskal+Dunn,cliffs_delta,,0.3166785204449444,1.0155638176662317e-33,1.716022410151188e-29,0.021735527164187595,-0.26721817253131314,-0.28540660553566727
ITG_bi_pct,Kruskal+Dunn,cliffs_delta,,0.11497255098598137,3.0378655635841378e-33,2.3157429458431894e-20,-0.03421524717479918,-0.26525462752319423,-0.2343884183196291
STG_bi_pct,Kruskal+Dunn,cliffs_delta,,0.011752817261745133,2.080078803910202e-24,5.95001554275633e-26,0.05469009332238995,-0.22429912097751067,-0.26840054313032125
Fusiform_bi_pct,Kruskal+Dunn,cliffs_delta,,0.9564426215271119,8.971872212566167e-19,1.5846008598343176e-13,-0.0011860266596041276,-0.19656256158941973,-0.18755390094883884
TemporalPole_bi_pct,Kruskal+Dunn,cliffs_delta,,0.15391258071556047,6.409963506282393e-14,2.4616274955211666e-07,-0.03095089654105923,-0.16748206676144484,-0.1321061599393122
PosteriorCing_bi_pct,Kruskal+Dunn,cliffs_delta,,0.0011448248520117112,1.971087846618827e-05,5.691867444442868e-10,0.07059680381590414,-0.09550309781920296,-0.16070337380097424
Precuneus_bi_pct,Kruskal+Dunn,cliffs_delta,,0.004134643730418927,1.9762811123411948e-14,4.355693548015654e-19,0.06224884696789996,-0.16884063504722066,-0.2282923177658438
SPL_bi_pct,Kruskal+Dunn,cliffs_delta,,4.086955171368254e-05,3.9760732272761216e-09,7.64973955821132e-17,0.08905242735531163,-0.1304394746625414,-0.21358845766106083
SOG_bi_pct,Kruskal+Dunn,cliffs_delta,,1.5322982311621898e-06,7.465028483219374e-10,1.9038774651462958e-19,0.10434412814598126,-0.13631181862953337,-0.2305617355399748
MOG_bi_pct,Kruskal+Dunn,cliffs_delta,,0.000249853825016439,6.687560165557695e-13,6.724810938129489e-20,0.07949933588728259,-0.15868818365684878,-0.23338484753829186
IOG_bi_pct,Kruskal+Dunn,cliffs_delta,,1.6371238629762281e-07,1.3714217826872094e-13,2.1590568573640406e-26,0.11366614660427103,-0.1633313685689214,-0.2707737785714871
LateralVentr_bi_pct,Kruskal+Dunn,cliffs_delta,,6.027663894091359e-11,1.227307815562296e-18,4.019038836445261e-37,-0.1420285810650777,0.19411796177260465,0.3233437667053099
InfLatVentr_bi_pct,Kruskal+Dunn,cliffs_delta,,0.04049394100624348,3.632118258953701e-51,3.0205789707650473e-51,-0.044470445095497586,0.33034381243252314,0.3817676141698366
Frontal_lobe_pct,Kruskal+Dunn,cliffs_delta,,1.9417212766123748e-17,2.3724706003438853e-20,2.180651173428181e-43,0.18444736445679402,-0.20353831359194755,-0.3504529273394719
Parietal_lobe_pct,Kruskal+Dunn,cliffs_delta,,5.834863971146944e-10,2.1041687744073078e-14,1.0557135716650277e-30,0.1344698274195677,-0.16866504089651788,-0.2930126156679073
Occipital_lobe_pct,Kruskal+Dunn,cliffs_delta,,8.864285958604391e-10,1.5717976815414976e-11,9.20946472781119e-26,0.13303273104745839,-0.14902135983951426,-0.26737147327287014
Temporal_lobe_pct,Kruskal+Dunn,cliffs_delta,,0.4123969811326944,3.7160906007038624e-49,1.263701678154445e-33,-0.017793066121097365,-0.3245981340377829,-0.3057548682745048
Cerebellum_pct,Kruskal+Dunn,cliffs_delta,,8.251407508619346e-08,0.1297850244742026,8.043737571574405e-09,0.11796143835838624,-0.03320147005228041,-0.15012125721373418
Brainstem_pct,Kruskal+Dunn,cliffs_delta,,6.102279679491056e-05,0.0022743520134069217,4.943109078810114e-09,0.08907553465628557,-0.06688353763682282,-0.15211929196351082
