ethnicity_code,ethnicity_label,n,accuracy,precision_pos,recall_pos,f1_pos,balanced_acc,roc_auc
0,0,637,0.5117739403453689,0.5663082437275986,0.4540229885057471,0.5039872408293461,0.5176689336992404,0.518504156226385
1,1,71,0.5774647887323944,0.48717948717948717,0.6551724137931034,0.5588235294117647,0.5894909688013137,0.6272577996715928
2,2,53,0.5094339622641509,0.6666666666666666,0.42424242424242425,0.5185185185185185,0.5371212121212121,0.5871212121212122
3,3,22,0.5,0.5,0.45454545454545453,0.47619047619047616,0.5,0.47107438016528924
4,4,87,0.5402298850574713,0.46153846153846156,0.4864864864864865,0.47368421052631576,0.5332432432432432,0.48459459459459464
5,5,196,0.5408163265306123,0.5208333333333334,0.5319148936170213,0.5263157894736842,0.5404672507300793,0.5035982478097621
6,6,51,0.47058823529411764,0.6086956521739131,0.4375,0.5090909090909091,0.4819078947368421,0.49013157894736853
7,7,4,0.25,0.0,,,0.25,
8,8,38,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.39612188365650974
9,9,49,0.5510204081632653,0.4090909090909091,0.5,0.45,0.5403225806451613,0.6039426523297491
10,10,6,0.8333333333333334,0.0,,,0.8333333333333334,
11,11,19,0.3684210526315789,0.25,0.25,0.25,0.3522727272727273,0.25
12,12,4,0.75,0.0,,,0.75,
13,13,11,0.6363636363636364,0.0,0.0,,0.3888888888888889,0.4444444444444445
14,14,11,0.45454545454545453,0.0,0.0,,0.3125,0.375
15,15,2,0.5,0.0,,,0.5,
17,17,2,0.0,0.0,,,0.0,
